train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.6899999976158142,0,49,,,,,,
,0,76,0.5380768775939941,0.7239999771118164,,,,
,0,76,,,0.6105935573577881,0.6589130163192749,,
0.746666669845581,1,99,,,,,,
0.8899999856948853,1,149,,,,,,
,1,153,0.3776664137840271,0.8399999737739563,,,,
,1,153,,,0.38210898637771606,0.8354782462120056,,
0.9066666960716248,2,199,,,,,,
,2,230,0.462098628282547,0.8069999814033508,,,,
,2,230,,,0.27312585711479187,0.8904348015785217,,
0.8966666460037231,3,249,,,,,,
0.8799999952316284,3,299,,,,,,
,3,307,0.3388151526451111,0.8579999804496765,,,,
,3,307,,,0.23435240983963013,0.9077391028404236,,
0.9300000071525574,4,349,,,,,,
,4,384,0.3322664797306061,0.8650000095367432,,,,
,4,384,,,0.1672094464302063,0.938043475151062,,
0.9233333468437195,5,399,,,,,,
0.9566666483879089,5,449,,,,,,
,5,461,0.394132137298584,0.8560000061988831,,,,
,5,461,,,0.14040622115135193,0.9517391324043274,,
0.9666666388511658,6,499,,,,,,
,6,538,0.37828439474105835,0.8730000257492065,,,,
,6,538,,,0.10887102782726288,0.9626521468162537,,
0.9700000286102295,7,549,,,,,,
0.9933333396911621,7,599,,,,,,
,7,615,0.3997158706188202,0.8654999732971191,,,,
,7,615,,,0.08380137383937836,0.9719130396842957,,
0.9599999785423279,8,649,,,,,,
,8,692,0.44637688994407654,0.8765000104904175,,,,
,8,692,,,0.06585238873958588,0.9792608618736267,,
0.9933333396911621,9,699,,,,,,
0.9833333492279053,9,749,,,,,,
,9,769,0.4588881731033325,0.8769999742507935,,,,
,9,769,,,0.06350092589855194,0.9804782867431641,,
0.9733333587646484,10,799,,,,,,
,10,846,0.48376354575157166,0.8784999847412109,,,,
,10,846,,,0.041413985192775726,0.9884782433509827,,
0.996666669845581,11,849,,,,,,
0.9900000095367432,11,899,,,,,,
,11,923,0.5460152626037598,0.878000020980835,,,,
,11,923,,,0.02793741784989834,0.9927391409873962,,
1.0,12,949,,,,,,
0.9800000190734863,12,999,,,,,,
,12,1000,0.534378170967102,0.8740000128746033,,,,
,12,1000,,,0.035822585225105286,0.9899564981460571,,
0.9933333396911621,13,1049,,,,,,
,13,1077,0.5841277241706848,0.8650000095367432,,,,
,13,1077,,,0.024137528613209724,0.9934782385826111,,
0.996666669845581,14,1099,,,,,,
0.9800000190734863,14,1149,,,,,,
,14,1154,0.5841481685638428,0.8554999828338623,,,,
,14,1154,,,0.034843865782022476,0.9901739358901978,,
0.996666669845581,15,1199,,,,,,
,15,1231,0.6270081400871277,0.8510000109672546,,,,
,15,1231,,,0.02347114309668541,0.9936521649360657,,
0.996666669845581,16,1249,,,,,,
0.996666669845581,16,1299,,,,,,
,16,1308,0.6625939011573792,0.8659999966621399,,,,
,16,1308,,,0.019876249134540558,0.9946087002754211,,
1.0,17,1349,,,,,,
,17,1385,0.6406104564666748,0.8709999918937683,,,,
,17,1385,,,0.01695025898516178,0.9955217242240906,,
0.996666669845581,18,1399,,,,,,
0.9933333396911621,18,1449,,,,,,
,18,1462,0.7088400721549988,0.8730000257492065,,,,
,18,1462,,,0.013057384639978409,0.9966956377029419,,
1.0,19,1499,,,,,,
,19,1539,0.6965644955635071,0.859499990940094,,,,
,19,1539,,,0.014339637011289597,0.9963043332099915,,
,20,1540,,,,,0.7619530558586121,0.8510800004005432
